Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
berth F4 4 random 4.88 0.22 0.12 0.33 4.12 4 137 19 4122 112
binomial_5_3_5_5 F4 24 random 0.05 0.03 0.02 0.00 0.00 5 10 3 33 12
cyclicn2 F4 4 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
reimer5h classical 19 perturbation 197.62 6.54 2.11 30.37 159.55 83 12792 13 2928 2563
katsuran4-simple classical 6 random 0.05 0.03 0.01 0.00 0.01 7 49 4 12 5
fmtm F4 29 perturbation 0.05 0.02 0.02 0.00 0.01 8 16 7 53 13
wang16 classical 19 random 2.20 0.30 0.15 0.31 1.49 18 378 5 230 162
dessin1 classical 8 perturbation 1.91 0.32 0.19 0.11 1.40 34 1183 5 130 88
econ2 classical 1 random 0.03 0.02 0.01 0.00 0.00 2 4 1 2 0
r6_2_2 F4 12 random 0.25 0.03 0.02 0.07 0.11 39 498 7 510 236
bench2h F4 15 random 8.11 0.05 0.02 2.79 4.70 257 5379 10 9143 2362
berthh classical 19 random 2.80 0.58 0.37 0.22 1.91 52 3455 43 213 142
buchberger87 classical 24 perturbation 0.05 0.03 0.02 0.00 0.00 8 16 6 17 9
sparsesym5h classical 0 random 0.05 0.04 0.02 0.00 0.00 6 16 18 16 10
econh2 F4 0 localsearch 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
berthh classical 24 perturbation 3.36 0.34 0.23 0.43 2.49 29 1399 39 271 182
binomial_7_4_7_8 F4 10 random 0.07 0.03 0.02 0.01 0.01 13 26 7 135 53
dessin2h F4 24 random 3.65 0.04 0.02 0.48 2.93 90 2838 7 3884 586
r5_2_2_h classical 11 random 0.23 0.08 0.04 0.02 0.10 21 160 6 68 47
binomial_7_3_7_9 F4 14 random 0.07 0.04 0.02 0.01 0.01 12 24 4 141 66
dessin2h classical 11 perturbation 35.84 0.76 0.42 1.71 33.07 109 3645 7 866 735
fabrice24h F4 27 random 2.60 0.04 0.02 0.37 1.95 102 3831 8 2435 642
redcyc6h classical 10 random 45.15 1.35 0.56 1.98 41.47 64 2644 16 856 660
extcyc5h F4 5 random 8.73 0.12 0.05 1.66 6.07 165 12004 15 4374 1484
schiele classical 8 random 0.03 0.02 0.01 0.00 0.00 2 6 2 2 0
sparsesym5 classical 1 random 0.04 0.03 0.01 0.00 0.00 5 12 10 5 0
binomial_5_3_5_3 classical 9 perturbation 0.05 0.02 0.01 0.00 0.01 12 24 6 27 15
schieleh classical 11 random 0.04 0.03 0.01 0.00 0.00 2 6 2 2 0
czapor87_2h F4 2 perturbation 0.08 0.02 0.01 0.01 0.04 12 180 5 176 40
cyclicn5-simple F4 29 perturbation 0.34 0.06 0.04 0.11 0.13 20 232 8 575 157
solotarevh F4 13 perturbation 0.05 0.03 0.02 0.00 0.01 6 23 5 63 14
katsuranh2 F4 11 perturbation 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
katsuranh2 classical 28 perturbation 0.03 0.02 0.01 0.00 0.00 2 5 2 2 0
binomial_8_3_8_16 F4 5 perturbation 0.13 0.06 0.04 0.04 0.01 20 40 4 280 146
econh8 classical 24 perturbation 14.56 0.61 0.35 0.51 13.26 102 3620 9 524 421
fmtm_non_hom F4 10 random 0.03 0.02 0.01 0.00 0.00 3 6 4 5 1
trinks F4 11 random 0.07 0.03 0.01 0.01 0.02 13 109 5 130 28
gerdt93 classical 12 random 0.06 0.03 0.01 0.00 0.02 9 109 6 18 9
katsuranh8 classical 6 random 17.85 0.66 0.21 0.30 16.70 74 6823 8 381 307
hairer3 classical 28 perturbation 0.09 0.08 0.03 0.00 0.00 1 1 0 1 0
wu90 classical 7 random 0.14 0.05 0.03 0.01 0.05 9 153 7 27 11
cyclicnh2 classical 24 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
cyclicnh2 F4 26 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
extcyc5 classical 0 caboara-perry 152.60 5.27 0.87 6.70 138.82 12 679 170 958 583
katsuranh2 F4 19 perturbation 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
econ2 classical 2 random 0.03 0.02 0.01 0.00 0.00 2 4 1 2 0
uteshev_bikker F4 14 random 0.32 0.03 0.01 0.01 0.25 20 622 8 406 38
sparsesym5 classical 0 caboara-perry 0.05 0.02 0.01 0.01 0.01 5 12 10 5 0
extcyc5h F4 3 perturbation 1.99 0.04 0.02 0.05 1.77 41 3069 12 1155 87
r8_2_2_h classical 0 random 42.59 0.78 0.26 1.28 40.27 128 5195 9 779 651
cyclicn3 F4 27 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
binomial_8_3_8_16 classical 20 perturbation 0.15 0.10 0.06 0.02 0.01 13 26 4 52 36
r8_2_2_h classical 24 random 42.21 0.67 0.27 1.27 39.97 128 5195 9 779 651
lichtblau classical 0 perturbation 0.64 0.13 0.08 0.12 0.36 3 54 8 113 80
sparsesym5h classical 25 perturbation 0.06 0.04 0.03 0.00 0.00 6 16 18 16 10
filter9 F4 9 random 925.37 1.53 0.56 676.28 244.84 65 451 7 105902 4576
r6_2_4_h classical 25 random 35.16 0.97 0.37 0.98 32.91 152 8725 13 692 540
bench2h F4 14 random 8.51 0.05 0.03 2.98 4.90 257 5379 10 9143 2362
r8_2_2_h classical 25 random 37.94 0.64 0.26 1.18 35.82 128 5195 9 779 651
solotarevh F4 7 random 0.07 0.03 0.02 0.00 0.01 10 50 6 98 25
katsuran4-simple classical 16 perturbation 0.04 0.02 0.01 0.00 0.01 7 49 4 12 5
binomial_7_3_7_9 F4 4 perturbation 0.09 0.05 0.04 0.01 0.01 12 24 4 141 66
redcyc6h F4 12 perturbation 3.20 0.13 0.08 0.65 2.11 106 3994 22 2635 786
berth F4 9 perturbation 1.55 0.05 0.04 0.03 1.40 4 137 19 1384 33
r5_2_2 classical 19 random 0.25 0.08 0.04 0.02 0.12 21 160 6 68 47
r5_2_2 F4 23 perturbation 0.10 0.03 0.02 0.02 0.03 21 160 6 231 99
econh2 classical 0 localsearch 0.04 0.03 0.00 0.00 0.00 2 4 2 2 0
vermeer classical 3 random 1.02 0.21 0.10 0.07 0.70 20 433 6 135 88
fmtm_non_hom classical 25 random 0.03 0.02 0.01 0.00 0.00 3 6 5 4 1
binomial_4_2_4_1 classical 0 localsearch 0.13 0.11 0.05 0.00 0.01 7 14 4 15 8
cyclicn5-permut F4 15 random 0.36 0.06 0.03 0.12 0.14 20 232 8 565 168
issac97 F4 25 random 0.09 0.03 0.01 0.01 0.05 12 180 5 176 40
wu90 classical 26 random 0.18 0.05 0.03 0.02 0.08 8 122 7 37 18
reimer5h classical 9 random 745.76 12.29 2.82 114.88 616.41 84 12728 13 3964 3414
hairer3 classical 6 perturbation 0.10 0.08 0.03 0.00 0.00 1 1 0 1 0
dessin1h classical 11 perturbation 5.84 0.34 0.20 0.19 5.21 56 2152 11 277 220
cyclicn3 F4 3 random 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
weispfenning94 F4 21 perturbation 0.18 0.02 0.01 0.01 0.12 22 511 14 363 29
sparsesym5h classical 19 perturbation 0.05 0.03 0.02 0.00 0.00 6 16 18 16 10
r6_2_2_h F4 18 perturbation 0.24 0.03 0.02 0.06 0.11 39 498 7 510 236
r5_2_2 F4 19 perturbation 0.10 0.02 0.01 0.02 0.03 21 160 6 231 99
katsuranh8 classical 25 perturbation 18.16 0.92 0.42 0.31 16.74 74 6823 8 381 307
fabrice24 classical 16 perturbation 1002.95 25.05 6.33 293.30 681.91 45 1664 5 2217 1602
econ8 classical 27 random 8.83 0.55 0.18 0.43 7.72 59 2704 5 342 266
reimer5 classical 1 random 113.09 2.97 1.05 15.01 94.34 23 1170 8 1910 1636
wang16h F4 3 random 0.23 0.03 0.02 0.02 0.14 33 809 9 420 73
katsuranh3 F4 25 perturbation 0.03 0.02 0.01 0.00 0.00 4 16 3 12 1
bench2 classical 19 perturbation 120.82 7.63 3.56 62.05 50.22 62 880 4 2496 2204
binomial_6_3_6_6 F4 9 random 0.07 0.04 0.02 0.01 0.01 7 14 5 93 34
binomial_6_2_6_7 F4 4 perturbation 0.06 0.04 0.02 0.01 0.01 9 18 3 74 31
fmtmdeh F4 20 perturbation 0.03 0.02 0.01 0.00 0.00 8 16 5 53 13
gerdt93 F4 5 perturbation 0.09 0.04 0.02 0.00 0.03 7 63 5 149 15
schiele classical 2 perturbation 0.03 0.02 0.01 0.00 0.00 2 6 2 2 0
liu classical 12 random 0.14 0.06 0.03 0.01 0.05 16 148 9 46 30
syz1 F4 2 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
lichtblau classical 16 random 0.04 0.03 0.02 0.00 0.00 2 22 11 2 0
bench1 F4 15 perturbation 19.78 0.41 0.19 9.12 9.57 93 4741 4 8800 1485
binomial_7_3_7_9 F4 0 static 0.02 0.00 0.00 0.00 0.01 14 28 5 90 29
berth classical 18 perturbation 0.49 0.09 0.06 0.05 0.31 4 155 25 71 41
binomial_6_2_6_7 F4 14 perturbation 0.06 0.03 0.02 0.01 0.00 9 18 3 74 31
binomial_6_3_6_6 F4 5 perturbation 0.07 0.04 0.03 0.01 0.01 7 14 5 96 34
r6_2_2 F4 0 static 0.17 0.00 0.00 0.05 0.08 39 498 7 420 179
sparsesym5h classical 27 perturbation 0.06 0.04 0.03 0.00 0.00 6 16 18 16 10
sendra F4 6 random 0.19 0.05 0.03 0.00 0.12 6 229 18 233 5
hairer3 F4 18 random 0.01 0.00 0.00 0.00 0.00 1 1 0 0 0
r8_2_2_h F4 6 perturbation 3.39 0.06 0.03 0.86 2.10 128 5195 9 2329 1087
berthh F4 18 random 12.42 0.38 0.22 1.17 10.34 50 7407 43 4307 723
hairer3 classical 22 perturbation 0.10 0.08 0.03 0.00 0.00 1 1 0 1 0
el44 F4 0 random 36.25 0.63 0.15 12.73 22.24 14 88 4 15468 657
econ2 F4 11 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 1 0 0
uteshev_bikker classical 6 random 0.28 0.10 0.05 0.01 0.15 17 519 7 44 27
solotarev F4 7 random 0.05 0.03 0.01 0.00 0.01 4 16 3 54 10
binomial_5_3_4_4 classical 19 perturbation 0.04 0.02 0.02 0.00 0.00 11 22 7 27 16
econh8 F4 11 perturbation 4.12 0.07 0.05 0.40 3.38 101 4184 12 3803 600
katsuranh3 F4 4 random 0.04 0.03 0.01 0.00 0.00 4 16 3 12 1
binomial_8_3_8_16 classical 9 random 0.13 0.08 0.04 0.02 0.01 13 26 4 52 36
hairer3 F4 28 random 0.01 0.00 0.00 0.00 0.00 1 1 0 0 0
berth classical 16 random 0.22 0.05 0.03 0.01 0.13 3 111 26 29 10
sparsesym5 classical 0 localsearch 0.11 0.08 0.03 0.00 0.01 5 12 10 5 0
f744 classical 24 random 68.47 1.25 0.48 3.01 63.77 87 3932 4 762 609
uteshev_bikker F4 8 perturbation 0.20 0.03 0.02 0.01 0.14 17 519 7 297 35
katsuran2 F4 4 random 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
dessin2 F4 15 perturbation 0.96 0.00 0.00 0.19 0.67 46 1337 4 1350 205
berthh classical 4 random 4.40 0.47 0.18 0.13 3.70 55 7014 43 151 84
dessin1h classical 23 random 49.39 1.19 0.47 2.05 45.81 51 2142 11 635 478
krider classical 21 random 363.34 9.37 4.02 143.54 208.61 20 153 14 2971 2405
hairer1 F4 8 random 0.12 0.03 0.02 0.01 0.06 15 193 8 209 22
bench2 F4 14 perturbation 17.45 0.63 0.26 10.97 5.31 78 1741 4 7325 1552
cyclicnh3 F4 0 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
fmtm_non_hom F4 19 perturbation 0.03 0.01 0.01 0.00 0.00 3 6 5 10 2
r7_2_2 classical 17 perturbation 5.16 0.42 0.24 0.26 4.34 67 1487 8 339 272
fmtm_non_hom F4 7 random 0.04 0.03 0.01 0.00 0.00 3 6 4 5 1
r7_2_2_h classical 0 localsearch 116.56 109.13 41.08 1.25 6.01 72 1667 8 362 290
lichtblau classical 0 localsearch 0.06 0.04 0.02 0.00 0.00 2 23 11 2 0
econh3 classical 3 random 0.04 0.03 0.01 0.00 0.00 4 11 4 5 1
r8_2_2 classical 5 random 34.49 0.67 0.26 1.09 32.41 128 5194 9 779 651
sendra F4 14 perturbation 0.46 0.02 0.01 0.01 0.39 6 186 11 928 20
bench1 F4 10 random 1412.58 2.86 0.29 85.01 1313.94 34 2214 10 149475 2092
