Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
wang16h classical 9 random 1.01 0.19 0.10 0.06 0.71 34 802 9 126 85
econh3 F4 8 random 0.04 0.03 0.01 0.00 0.00 4 11 4 8 1
dessin2h F4 7 random 3.62 0.04 0.02 0.52 2.83 90 2838 7 3884 586
vermeer F4 7 random 0.41 0.06 0.03 0.08 0.24 14 172 5 926 109
r7_2_2_h F4 18 perturbation 0.89 0.03 0.02 0.24 0.50 67 1487 8 1056 488
r5_2_2 classical 10 random 0.24 0.08 0.04 0.02 0.11 21 160 6 68 47
wang16 F4 17 random 0.20 0.03 0.01 0.02 0.12 18 374 4 355 44
sparsesym5 classical 7 perturbation 0.03 0.02 0.01 0.00 0.00 5 12 10 5 0
wang16h classical 1 perturbation 3.16 0.32 0.19 0.59 2.16 36 853 10 340 263
r8_2_2_h F4 18 random 3.40 0.04 0.02 0.93 2.04 128 5195 9 2329 1087
sparsesym5h F4 0 static 0.01 0.00 0.00 0.00 0.00 6 16 18 42 10
binomial_7_4_7_8 F4 18 perturbation 0.07 0.04 0.03 0.01 0.01 17 34 8 174 71
r5_2_2_h F4 21 perturbation 0.10 0.02 0.01 0.02 0.03 21 160 6 231 99
dessin2h classical 26 perturbation 40.17 0.75 0.41 1.98 37.16 109 3645 7 866 735
econ3 F4 22 random 0.03 0.02 0.01 0.00 0.00 3 9 2 2 0
hfe_segers classical 12 perturbation 2.75 0.28 0.16 0.34 2.05 47 214 3 283 221
binomial_6_2_6_7 F4 10 random 0.06 0.03 0.02 0.01 0.00 9 18 3 74 31
dessin2h F4 15 random 3.58 0.04 0.02 0.51 2.80 90 2838 7 3884 586
econ3 classical 14 random 0.03 0.02 0.01 0.00 0.00 3 9 2 3 0
berth classical 12 random 0.47 0.13 0.08 0.03 0.28 4 143 21 52 22
r6_2_4_h F4 14 perturbation 4.07 0.13 0.06 0.69 2.81 152 8725 13 2177 840
r8_2_2 F4 14 perturbation 3.64 0.06 0.03 0.94 2.23 128 5194 9 2329 1087
binomial_8_3_8_16 F4 9 random 0.11 0.04 0.02 0.04 0.01 13 26 4 213 97
syz1 F4 22 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
binomial_7_3_7_9 F4 24 random 0.07 0.03 0.02 0.01 0.01 12 24 4 145 66
r8_2_2_h F4 14 perturbation 3.57 0.05 0.03 0.94 2.18 128 5195 9 2329 1087
sendrah classical 24 random 0.05 0.02 0.01 0.00 0.01 7 221 14 9 2
wu90h classical 29 random 76.49 2.07 0.94 33.35 40.43 31 549 9 2764 2489
sparsesym5 F4 5 perturbation 0.03 0.02 0.01 0.00 0.00 5 12 10 9 0
berth classical 18 random 0.64 0.13 0.07 0.06 0.42 5 170 15 69 31
r5_2_2_h F4 15 random 0.24 0.03 0.01 0.02 0.17 21 160 6 231 99
econ8 F4 1 perturbation 4.41 0.13 0.07 1.00 3.01 59 2704 5 4078 609
econ8 classical 2 perturbation 9.44 0.51 0.27 0.46 8.36 59 2704 5 342 266
hemmecke F4 13 perturbation 0.01 0.00 0.00 0.00 0.00 3 16 15 0 0
r6_2_2_h F4 6 perturbation 0.25 0.03 0.02 0.07 0.11 39 498 7 510 236
r6_2_4_h classical 29 perturbation 35.19 0.98 0.42 0.99 32.97 152 8725 13 692 540
wu90h classical 6 perturbation 22.05 1.66 0.80 9.34 10.70 27 385 7 1556 1389
trinks classical 4 random 0.12 0.06 0.03 0.01 0.03 13 109 5 29 16
binomial_6_3_6_6 classical 0 static 0.03 0.00 0.00 0.01 0.01 13 26 6 34 21
r7_2_2_h classical 20 random 5.46 0.30 0.14 0.29 4.77 67 1487 8 339 272
schieleh F4 0 static 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
r5_2_2 classical 21 perturbation 0.22 0.06 0.04 0.02 0.12 21 160 6 68 47
redcyc6 F4 8 random 10.48 0.19 0.08 1.49 8.44 15 329 8 7604 429
sendra F4 26 perturbation 0.40 0.02 0.01 0.01 0.34 7 249 14 764 20
r6_2_2_h F4 0 random 0.26 0.03 0.02 0.07 0.11 39 498 7 510 236
roseh F4 20 random 0.24 0.03 0.02 0.01 0.17 21 602 19 621 31
rose classical 25 perturbation 10.31 0.43 0.23 2.86 6.87 12 336 25 525 391
binomial_5_3_5_3 classical 19 perturbation 0.05 0.02 0.01 0.01 0.01 12 24 6 27 15
econh3 classical 16 perturbation 0.02 0.01 0.01 0.00 0.00 4 11 4 5 1
