instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
sendrah F4 15 perturbation 0.85 0.07 0.06 0.03 0.71 2 26 7 3381 130
binomial_7_4_7_8 classical 26 random 0.09 0.07 0.05 0.00 0.01 9 18 7 36 22
binomial_7_4_7_8 classical 27 random 0.09 0.06 0.05 0.00 0.01 9 18 7 37 22
sendrah F4 16 perturbation 0.21 0.04 0.04 0.01 0.14 4 89 14 904 52
binomial_7_4_7_8 classical 28 random 0.20 0.14 0.12 0.01 0.03 9 18 7 83 62
sendrah F4 17 perturbation 0.23 0.05 0.04 0.01 0.15 4 89 14 904 52
binomial_7_4_7_8 classical 29 random 0.15 0.11 0.09 0.01 0.02 9 18 7 62 43
binomial_7_4_7_8 F4 0 random 0.04 0.03 0.03 0.00 0.00 9 18 7 120 45
binomial_7_4_7_8 F4 1 random 0.04 0.03 0.03 0.00 0.00 9 18 7 117 41
sendrah F4 18 perturbation 0.20 0.04 0.04 0.01 0.13 2 26 7 868 50
binomial_7_4_7_8 F4 2 random 0.04 0.03 0.03 0.00 0.00 13 26 8 156 57
binomial_7_4_7_8 F4 3 random 0.04 0.03 0.03 0.00 0.00 13 26 8 151 54
binomial_7_4_7_8 F4 4 random 0.04 0.03 0.03 0.00 0.00 9 18 7 116 40
binomial_7_4_7_8 F4 5 random 0.04 0.03 0.03 0.00 0.00 13 26 8 145 54
binomial_7_4_7_8 F4 6 random 0.04 0.03 0.03 0.00 0.00 9 18 7 121 40
sendrah F4 19 perturbation 0.20 0.04 0.04 0.01 0.13 2 26 7 868 50
binomial_7_4_7_8 F4 7 random 0.04 0.03 0.03 0.00 0.00 9 18 7 129 45
binomial_7_4_7_8 F4 8 random 0.04 0.03 0.03 0.00 0.00 9 18 7 111 40
binomial_7_4_7_8 F4 9 random 0.04 0.03 0.03 0.00 0.00 9 18 7 119 41
binomial_7_4_7_8 F4 10 random 0.04 0.03 0.03 0.00 0.00 13 26 8 169 57
binomial_7_4_7_8 F4 11 random 0.04 0.03 0.03 0.00 0.00 9 18 7 112 42
binomial_7_4_7_8 F4 12 random 0.04 0.03 0.03 0.00 0.00 9 18 7 110 40
binomial_7_4_7_8 F4 13 random 0.04 0.03 0.03 0.00 0.00 9 18 7 125 43
binomial_7_4_7_8 F4 14 random 0.04 0.03 0.03 0.00 0.00 9 18 7 121 40
binomial_7_4_7_8 F4 15 random 0.04 0.03 0.03 0.00 0.00 13 26 8 152 55
sendrah F4 20 perturbation 0.38 0.07 0.06 0.02 0.27 2 26 7 1098 102
binomial_7_4_7_8 F4 16 random 0.04 0.03 0.03 0.00 0.00 9 18 7 111 40
binomial_7_4_7_8 F4 17 random 0.04 0.03 0.03 0.00 0.00 9 18 7 122 42
binomial_7_4_7_8 F4 18 random 0.06 0.05 0.04 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 19 random 0.04 0.03 0.03 0.00 0.00 9 18 7 123 43
binomial_7_4_7_8 F4 20 random 0.05 0.03 0.03 0.00 0.00 9 18 7 114 41
sendrah F4 21 perturbation 0.23 0.05 0.04 0.01 0.16 4 89 14 904 52
binomial_7_4_7_8 F4 21 random 0.04 0.03 0.03 0.00 0.00 9 18 7 115 40
binomial_7_4_7_8 F4 22 random 0.04 0.03 0.03 0.00 0.00 9 18 7 116 42
binomial_7_4_7_8 F4 23 random 0.04 0.03 0.03 0.00 0.00 9 18 7 111 42
binomial_7_4_7_8 F4 24 random 0.04 0.03 0.03 0.00 0.00 9 18 7 122 42
binomial_7_4_7_8 F4 25 random 0.04 0.03 0.03 0.00 0.00 17 34 8 174 71
binomial_7_4_7_8 F4 26 random 0.04 0.03 0.03 0.00 0.00 9 18 7 128 43
binomial_7_4_7_8 F4 27 random 0.04 0.03 0.03 0.00 0.00 9 18 7 112 42
binomial_7_4_7_8 F4 28 random 0.04 0.03 0.03 0.00 0.00 9 18 7 121 40
binomial_7_4_7_8 F4 29 random 0.04 0.03 0.03 0.00 0.00 9 18 7 111 41
