instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
bench2h F4 3 perturbation 10.42 0.11 0.07 3.20 6.47 270 6599 10 11224 2490
czapor87_2h classical 0 perturbation 0.11 0.04 0.03 0.01 0.05 12 180 5 30 18
reimer5h F4 3 random 21.93 0.13 0.05 2.07 18.35 174 17767 16 8097 1457
binomial_5_3_4_6 classical 25 random 0.08 0.06 0.03 0.01 0.00 5 10 5 21 10
katsuranh3 F4 20 random 0.04 0.03 0.01 0.00 0.00 4 16 3 12 1
binomial_5_3_4_6 classical 28 random 0.08 0.06 0.03 0.01 0.00 4 8 3 18 8
trinks F4 18 random 0.08 0.03 0.01 0.01 0.02 13 109 5 130 28
i1 F4 18 random 7.97 0.04 0.02 4.35 3.15 118 5536 4 3546 852
lichtblau F4 2 perturbation 0.20 0.03 0.03 0.02 0.12 5 152 7 211 32
syz1 classical 0 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
cyclicn2 F4 5 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
r7_2_2_h F4 8 random 0.87 0.03 0.02 0.24 0.49 67 1487 8 1056 488
econh8 F4 0 caboara-perry 35.27 26.92 0.85 0.85 7.03 116 6531 11 4659 582
uteshev_bikker F4 0 caboara-perry 0.81 0.55 0.21 0.02 0.21 18 555 7 368 31
gerdt93 classical 15 perturbation 0.06 0.02 0.02 0.00 0.02 9 109 6 18 9
cyclicn2 classical 25 perturbation 0.02 0.01 0.00 0.00 0.00 2 4 2 2 0
redcyc6 classical 1 random 6.22 0.40 0.18 0.36 5.35 21 493 6 272 173
reimer5 F4 8 random 14.65 0.13 0.06 1.70 12.42 18 1042 13 7520 280
hairer3 classical 21 random 0.05 0.04 0.01 0.00 0.00 1 1 0 1 0
trinks F4 24 perturbation 0.08 0.04 0.02 0.01 0.02 13 109 5 130 28
binomial_5_3_4_4 classical 23 perturbation 0.04 0.02 0.01 0.00 0.00 11 22 7 27 16
extcyc5h classical 1 random 29.60 0.81 0.31 0.88 27.64 165 12004 15 663 498
assur44 F4 8 perturbation 6.42 0.05 0.03 2.08 3.85 75 3858 4 2993 642
cyclicn3 classical 1 random 0.03 0.02 0.01 0.00 0.00 3 8 3 3 0
dessin2 classical 8 perturbation 3.89 0.29 0.16 0.18 3.34 46 1337 4 211 163
binomial_6_2_6_7 F4 23 random 0.06 0.03 0.02 0.01 0.01 12 24 4 124 58
reimer5h classical 0 perturbation 86.66 2.96 1.05 10.33 72.82 68 9747 12 1346 1101
katsuran8 F4 21 perturbation 6.52 0.06 0.03 0.26 5.80 74 6823 8 2957 470
hfe_segers F4 10 perturbation 0.49 0.05 0.03 0.27 0.11 41 192 3 1027 507
fmtm_non_hom F4 15 random 0.04 0.02 0.01 0.00 0.01 3 6 5 10 2
fmtmdeh classical 5 random 0.04 0.02 0.01 0.00 0.00 5 10 13 16 7
econh2 classical 29 perturbation 0.02 0.01 0.01 0.00 0.00 2 4 2 2 0
katsuran8 F4 3 perturbation 6.43 0.05 0.03 0.26 5.70 74 6823 8 2957 470
econ3 F4 16 perturbation 0.02 0.01 0.01 0.00 0.00 3 9 2 2 0
binomial_7_3_7_9 classical 22 perturbation 0.12 0.08 0.05 0.01 0.01 8 16 4 34 20
dessin1h F4 0 perturbation 3.42 0.05 0.03 0.12 3.12 56 2152 11 3438 244
fabrice24 classical 10 random 65.20 0.91 0.32 2.30 61.65 37 1403 8 510 351
redcyc6h classical 25 perturbation 9.65 0.54 0.30 0.36 8.61 106 3994 22 400 294
fmtm_non_hom F4 14 perturbation 0.03 0.01 0.01 0.00 0.00 4 8 7 16 3
liu F4 15 random 0.12 0.03 0.02 0.01 0.06 16 148 9 355 50
binomial_5_3_5_5 F4 10 perturbation 0.04 0.03 0.02 0.00 0.00 8 16 6 46 17
binomial_6_2_6_7 F4 19 perturbation 0.06 0.03 0.02 0.01 0.00 9 18 3 74 31
gerdt93 classical 17 random 0.07 0.03 0.01 0.00 0.02 9 109 6 18 9
redcyc6h F4 3 perturbation 3.03 0.11 0.07 0.65 1.97 106 3994 22 2635 786
binomial_5_3_5_5 classical 19 random 0.08 0.06 0.03 0.01 0.00 5 10 3 17 8
hemmecke F4 17 perturbation 0.01 0.00 0.00 0.00 0.00 3 16 15 0 0
wang16h F4 19 perturbation 0.22 0.02 0.01 0.02 0.15 33 809 9 420 73
dessin2h classical 13 random 17.54 0.33 0.15 0.59 16.45 90 2838 7 519 429
schieleh F4 19 random 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
reimer5 classical 18 random 306.30 6.33 1.61 20.82 277.99 21 905 9 1274 862
katsuran6-simple classical 9 random 0.50 0.09 0.04 0.02 0.35 22 528 6 70 48
uteshev_bikker classical 9 perturbation 0.29 0.07 0.05 0.01 0.18 17 519 7 44 27
binomial_8_4_8_9 classical 16 random 0.12 0.07 0.04 0.01 0.02 9 18 7 40 25
hairer1 classical 14 random 0.11 0.03 0.01 0.01 0.04 15 193 8 31 16
krider classical 3 perturbation 280.42 14.39 6.72 117.33 147.40 25 179 14 2576 2145
redcyc6 classical 17 random 6.34 0.41 0.19 0.36 5.45 21 493 6 272 173
katsuran2 classical 21 random 0.03 0.02 0.01 0.00 0.00 2 5 2 2 0
r5_2_4_h classical 0 perturbation 0.61 0.08 0.05 0.05 0.44 35 453 9 122 87
rose F4 17 perturbation 6.21 0.15 0.08 1.16 4.73 12 323 11 8072 224
r5_2_2 F4 9 perturbation 0.10 0.03 0.02 0.02 0.03 21 160 6 231 99
fmtm F4 21 perturbation 0.05 0.02 0.01 0.00 0.01 8 16 7 53 13
binomial_7_4_7_8 classical 13 random 0.13 0.06 0.03 0.02 0.02 17 34 8 64 46
binomial_7_3_7_9 classical 20 perturbation 0.12 0.08 0.05 0.01 0.01 8 16 4 34 20
binomial_8_4_8_9 classical 4 random 0.12 0.07 0.04 0.01 0.02 9 18 7 40 25
fmtm_non_hom F4 21 perturbation 0.03 0.01 0.01 0.00 0.00 4 8 7 16 3
binomial_7_4_7_8 classical 26 random 0.10 0.06 0.03 0.01 0.01 9 18 7 36 22
binomial_7_3_7_9 F4 22 random 0.07 0.03 0.02 0.01 0.01 14 28 5 162 78
r7_2_2 F4 17 perturbation 0.90 0.04 0.02 0.24 0.52 67 1487 8 1056 488
r6_2_2 F4 16 perturbation 0.26 0.03 0.02 0.07 0.11 39 498 7 510 236
katsuran6-simple F4 17 random 0.31 0.03 0.01 0.03 0.21 24 586 6 475 82
weispfenning94 F4 9 random 0.20 0.03 0.02 0.01 0.14 22 511 14 363 29
reimer5h classical 22 random 195.43 3.29 0.84 4.08 187.39 131 26685 18 1321 1045
bench2h F4 29 perturbation 13.11 0.11 0.07 3.96 8.21 293 7707 10 11912 2758
dessin2h F4 23 random 3.65 0.04 0.02 0.50 2.90 90 2838 7 3884 586
r5_2_2 F4 24 random 0.10 0.03 0.01 0.02 0.03 21 160 6 231 99
bench1 classical 6 perturbation 539.06 12.76 4.40 139.55 384.79 46 2669 8 2056 1595
sparsesym5 classical 4 perturbation 0.03 0.02 0.01 0.00 0.00 5 12 10 5 0
czapor87_2h F4 1 perturbation 0.09 0.02 0.01 0.01 0.05 12 180 5 176 40
roseh F4 23 perturbation 27.31 0.41 0.22 6.74 19.34 20 558 18 26051 2104
katsuran3 F4 0 random 0.04 0.02 0.01 0.00 0.00 4 16 3 12 1
cyclicnh3 classical 28 perturbation 0.03 0.02 0.01 0.00 0.00 3 8 3 3 0
cyclicnh2 F4 22 random 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
berthh classical 0 static 2.02 0.00 0.00 0.11 1.88 67 4646 42 136 69
r5_2_4_h classical 9 perturbation 0.57 0.07 0.05 0.05 0.42 35 453 9 122 87
katsuranh8 classical 19 perturbation 20.50 0.92 0.41 0.34 19.06 74 6823 8 381 307
fabrice24 classical 12 random 30.19 0.62 0.26 1.53 27.78 34 1318 10 409 289
reimer5h F4 29 random 22.42 0.13 0.05 2.12 18.74 174 17767 16 8097 1457
uteshev_bikker F4 4 perturbation 0.21 0.02 0.01 0.01 0.15 17 519 7 297 35
wu90 classical 6 perturbation 0.13 0.04 0.03 0.01 0.06 13 166 4 32 18
gerdt93 F4 4 random 0.07 0.03 0.02 0.00 0.02 10 59 6 132 19
weispfenning94 F4 19 random 0.19 0.03 0.01 0.01 0.13 22 511 14 363 29
katsuran2 F4 23 perturbation 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
czapor87_1h classical 0 random 0.15 0.08 0.04 0.01 0.05 12 156 5 30 18
hfe_segers F4 23 perturbation 0.50 0.05 0.03 0.28 0.11 41 192 3 1027 507
berthh classical 13 perturbation 5.60 0.27 0.20 0.25 4.98 43 4650 42 206 122
cyclicn3 F4 11 random 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
bench1 F4 7 perturbation 15.11 0.29 0.13 9.74 4.34 118 5536 4 4847 1845
katsuranh2 classical 16 random 0.03 0.02 0.01 0.00 0.00 2 5 2 2 0
schieleh F4 8 random 0.01 0.00 0.00 0.00 0.00 2 6 2 0 0
rabmo F4 12 random 12.83 0.16 0.07 6.71 5.53 20 169 3 5169 755
extcyc5 F4 28 perturbation 12.35 0.24 0.09 3.68 7.22 102 6728 10 5408 2031
solotarevh classical 9 random 0.05 0.03 0.01 0.00 0.01 10 50 6 24 14
assur44 classical 6 perturbation 365.19 10.21 3.15 51.90 301.11 29 1295 10 2171 1749
liu classical 16 perturbation 0.14 0.06 0.04 0.01 0.05 16 148 9 46 30
roseh F4 25 random 2.05 0.11 0.06 0.25 1.55 21 753 17 3376 240
r8_2_2 classical 16 perturbation 36.77 0.89 0.43 1.15 34.43 128 5194 9 779 651
katsuranh2 classical 0 perturbation 0.03 0.02 0.01 0.00 0.00 2 5 2 2 0
econh8 classical 2 random 636.87 6.26 2.43 181.25 447.58 62 3116 9 4752 4189
r8_2_2 classical 23 perturbation 35.46 0.86 0.41 1.09 33.23 128 5194 9 779 651
bench2 F4 13 perturbation 16.46 0.55 0.24 10.04 5.42 61 1177 4 7435 1127
binomial_8_4_8_9 classical 12 random 0.10 0.07 0.04 0.01 0.01 9 18 7 35 25
fabrice24 classical 27 random 33.67 0.75 0.31 1.99 30.64 37 1404 8 396 260
katsuranh3 F4 28 perturbation 0.03 0.02 0.01 0.00 0.00 4 16 3 12 1
buchberger87 F4 10 random 0.04 0.03 0.01 0.00 0.00 4 8 3 13 3
binomial_5_3_5_5 F4 11 perturbation 0.04 0.03 0.02 0.00 0.00 8 16 6 46 17
czapor87_1h classical 6 perturbation 0.12 0.06 0.04 0.01 0.04 12 156 5 30 18
reimer5h F4 12 random 122.79 0.21 0.05 2.94 115.39 223 56257 20 17394 1610
r5_2_4_h classical 24 perturbation 0.58 0.07 0.05 0.05 0.43 35 453 9 122 87
fabrice24h classical 12 random 31.41 0.40 0.17 0.62 30.16 102 3831 8 606 504
czapor87_2h classical 7 perturbation 0.12 0.04 0.03 0.01 0.05 12 180 5 30 18
issac97 classical 26 random 0.12 0.05 0.03 0.01 0.05 12 180 5 30 18
roseh F4 3 perturbation 8.47 0.23 0.14 1.87 6.00 51 1729 25 9933 887
cyclicn5-permut F4 7 perturbation 0.34 0.05 0.03 0.11 0.13 20 232 8 565 168
dessin2 F4 27 random 1.15 0.00 0.00 0.21 0.84 46 1337 4 1350 205
binomial_5_3_5_5 F4 17 perturbation 0.05 0.03 0.02 0.00 0.00 8 16 6 46 17
redcyc6 F4 11 perturbation 2.24 0.15 0.08 0.48 1.44 21 493 6 1979 328
dessin1h F4 21 random 3.40 0.04 0.02 0.12 3.10 56 2152 11 3438 244
weispfenning94 classical 6 perturbation 0.23 0.06 0.04 0.01 0.13 22 511 14 48 26
syz1 classical 19 random 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
sendrah classical 20 perturbation 0.04 0.01 0.01 0.00 0.02 7 221 14 9 2
i1 F4 19 random 59.88 0.48 0.15 9.42 48.81 48 2794 7 25241 853
r8_2_2 classical 10 perturbation 40.18 0.98 0.46 1.23 37.70 128 5194 9 779 651
cyclicn5-permut classical 24 perturbation 0.49 0.09 0.06 0.05 0.32 20 232 8 113 75
dessin1h classical 17 perturbation 5.84 0.48 0.33 0.18 5.08 56 2152 11 277 220
wang16h classical 0 caboara-perry 2.16 0.31 0.12 0.15 1.63 53 1354 15 176 123
r7_2_2_h classical 25 perturbation 5.79 0.36 0.21 0.29 5.05 67 1487 8 339 272
vermeer F4 19 perturbation 0.76 0.06 0.04 0.06 0.60 21 489 6 1446 104
binomial_5_3_5_3 classical 3 random 0.05 0.03 0.01 0.01 0.01 12 24 6 27 15
buchberger87 F4 4 random 0.05 0.03 0.02 0.00 0.00 5 10 5 27 5
dessin2 F4 19 perturbation 1.16 0.00 0.00 0.21 0.85 46 1337 4 1350 205
fmtm F4 28 random 0.04 0.03 0.01 0.00 0.00 8 16 7 53 13
cyclicn2 F4 7 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
binomial_5_3_4_4 F4 29 perturbation 0.04 0.02 0.02 0.00 0.00 4 8 3 16 4
roseh F4 28 perturbation 46.48 1.11 0.53 24.93 18.98 17 452 18 37541 4757
liu classical 22 random 0.14 0.06 0.03 0.01 0.05 16 148 9 46 30
extcyc5h classical 27 random 31.40 0.84 0.32 0.93 29.36 165 12004 15 663 498
redcyc6 F4 19 perturbation 2.19 0.14 0.07 0.46 1.42 21 493 6 1979 328
wang16h F4 16 random 0.23 0.03 0.01 0.02 0.15 33 809 9 420 73
sparsesym5h classical 20 perturbation 0.05 0.04 0.03 0.00 0.00 6 16 18 16 10
cyclicn5-permut F4 23 random 0.35 0.06 0.03 0.11 0.13 20 232 8 565 168
cyclicn3 classical 17 random 0.03 0.02 0.01 0.00 0.00 3 8 3 3 0
cyclicnh2 F4 24 perturbation 0.01 0.00 0.00 0.00 0.00 2 4 2 0 0
sparsesym5 classical 9 random 0.04 0.02 0.01 0.00 0.00 5 12 10 5 0
wang16 classical 18 perturbation 0.36 0.05 0.03 0.03 0.25 10 197 8 62 35
katsuran4-simple F4 3 perturbation 0.04 0.01 0.01 0.00 0.01 7 49 4 60 12
weispfenning94 F4 8 perturbation 0.18 0.02 0.01 0.01 0.13 22 511 14 363 29
r6_2_4_h classical 18 perturbation 35.46 0.98 0.42 0.98 33.27 152 8725 13 692 540
econ3 F4 10 perturbation 0.02 0.01 0.01 0.00 0.00 3 9 2 2 0
sendra classical 29 perturbation 0.04 0.01 0.01 0.00 0.01 6 186 11 9 2
cyclicn5-simple F4 4 perturbation 0.34 0.04 0.03 0.12 0.13 20 232 8 575 157
bench1 F4 22 random 109.51 0.42 0.11 28.99 77.29 30 1946 11 27753 1006
binomial_6_2_6_7 classical 8 random 0.09 0.06 0.03 0.01 0.01 7 14 3 24 12
cyclicnh3 F4 22 perturbation 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
cyclicnh3 F4 5 random 0.01 0.00 0.00 0.00 0.00 3 8 3 0 0
cyclicn5-simple F4 13 random 0.35 0.06 0.03 0.12 0.13 20 232 8 575 157
uteshev_bikker F4 13 random 0.21 0.03 0.01 0.01 0.15 17 519 7 297 35
trinks F4 1 random 0.07 0.03 0.01 0.01 0.02 13 109 5 130 28
katsuranh2 F4 0 caboara-perry 0.01 0.00 0.00 0.00 0.00 2 5 2 0 0
hemmecke classical 6 random 0.04 0.03 0.01 0.00 0.00 3 16 15 3 0
fmtm_non_hom classical 0 random 0.03 0.02 0.01 0.00 0.00 3 6 5 4 1
cyclicn2 classical 13 random 0.03 0.02 0.01 0.00 0.00 2 4 2 2 0
wang16 classical 15 random 0.49 0.14 0.07 0.04 0.29 15 355 5 79 49
schiele classical 20 perturbation 0.02 0.01 0.01 0.00 0.00 2 6 2 2 0
sparsesym5h classical 18 random 0.05 0.03 0.02 0.00 0.00 6 16 18 16 10
sendra F4 8 random 0.61 0.05 0.03 0.02 0.50 5 235 18 932 27
r6_2_2 F4 1 random 0.41 0.03 0.01 0.07 0.27 39 498 7 510 236
dessin2 F4 18 random 1.01 0.00 0.00 0.21 0.70 46 1337 4 1350 205
r7_2_2_h classical 27 random 5.33 0.19 0.10 0.28 4.76 67 1487 8 339 272
hfe_segers F4 21 random 0.46 0.04 0.02 0.27 0.11 41 192 3 1027 507
r5_2_2_h classical 17 random 0.40 0.24 0.04 0.02 0.12 21 160 6 68 47
wu90h classical 9 perturbation 3.26 0.30 0.18 0.58 2.29 25 357 7 401 328
fmtm_non_hom F4 26 random 0.03 0.02 0.01 0.00 0.00 3 6 4 5 1
rose classical 29 perturbation 0.09 0.01 0.01 0.01 0.06 12 325 14 27 13
solotarev classical 21 random 0.05 0.02 0.01 0.00 0.01 10 50 3 24 14
katsuran8 classical 18 perturbation 20.33 0.78 0.36 0.34 19.05 74 6823 8 381 307
binomial_7_4_7_8 classical 1 random 0.11 0.05 0.03 0.02 0.02 17 34 8 64 46
r7_2_2_h classical 6 perturbation 5.55 0.33 0.20 0.29 4.83 67 1487 8 339 272
binomial_7_3_7_9 F4 0 random 0.07 0.03 0.02 0.01 0.01 12 24 4 141 66
uteshev_bikker classical 9 random 0.27 0.08 0.04 0.01 0.16 17 519 7 44 27
hfe_segers classical 10 random 3.12 0.27 0.13 0.49 2.27 41 190 4 290 221
