Compiling ./dynamicgb.pyx...
instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
discrc2h F4 19 random 0.20 0.07 0.04 0.00 0.10 8 117 7 264 9
ahmlh F4 16 random 3751.76 0.28 0.06 1.62 3744.35 169 61038 20 90593 1204
aubry2 classical 0 static 639.94 0.00 0.00 7.32 630.76 79 7215 6 1013 645
aubry2 F4 26 random 33.18 0.04 0.02 4.79 26.15 79 7215 6 5881 1020
discrc2h F4 23 perturbation 0.64 0.13 0.08 0.01 0.46 14 858 11 875 20
discrc2 classical 12 perturbation 56.93 0.83 0.48 0.21 55.55 57 37711 14 288 220
aubry2 classical 23 perturbation 633.43 13.18 2.63 6.94 610.96 79 7215 6 1013 645
aubry2 F4 11 random 37.92 0.03 0.02 5.22 30.42 79 7215 6 5881 1020
aubry2 F4 12 random 37.00 0.05 0.02 5.00 29.75 79 7215 6 5881 1020
ahml classical 23 perturbation 26.11 0.74 0.36 0.55 24.55 52 10175 14 336 232
aubry2 classical 1 perturbation 606.28 12.97 2.40 6.61 584.57 79 7215 6 1013 645
aubry2 F4 1 random 28.59 0.04 0.02 4.33 22.36 79 7215 6 5881 1020
ahmlh F4 28 random 36.33 0.12 0.04 0.35 34.97 76 14079 18 9226 453
ahmlh F4 14 perturbation 418.55 1.02 0.25 9.29 402.18 162 34835 22 52317 2580
ahml classical 0 static 60.96 0.00 0.00 0.28 60.50 95 26886 14 330 233
ahmlh F4 14 random NA NA NA NA NA NA NA NA NA NA
aubry2 F4 2 perturbation 29.11 0.04 0.03 4.56 22.59 79 7215 6 5881 1020
ahmlh classical 19 perturbation NA NA NA NA NA NA NA NA NA NA
ahmlh F4 20 perturbation 995.84 7.41 1.18 106.64 860.29 118 22687 19 145342 12518
aubry2 classical 22 perturbation 541.36 11.16 1.99 6.06 522.29 79 7215 6 1013 645
discrc2h classical 14 random 0.28 0.16 0.08 0.02 0.07 5 80 7 40 21
discrc2h F4 2 random 109.48 0.32 0.05 0.07 108.38 33 11145 15 32056 173
aubry2 classical 17 random 595.79 7.53 1.54 6.40 580.17 79 7215 6 1013 645
discrc2h F4 11 perturbation 0.27 0.11 0.07 0.00 0.13 8 241 10 417 9
discrc2 classical 8 perturbation 0.82 0.39 0.23 0.08 0.30 7 122 6 113 84
aubry2 classical 14 perturbation 596.50 10.66 1.90 6.30 577.78 79 7215 6 1013 645
discrc2 classical 4 perturbation 0.53 0.26 0.16 0.04 0.19 10 182 7 72 49
aubry2 F4 29 random 28.92 0.04 0.02 4.48 22.49 79 7215 6 5881 1020
aubry2 F4 5 perturbation 28.66 0.04 0.02 4.39 22.35 79 7215 6 5881 1020
aubry2 F4 8 perturbation 28.71 0.04 0.02 4.35 22.43 79 7215 6 5881 1020
aubry2 F4 2 random 28.96 0.04 0.02 4.66 22.33 79 7215 6 5881 1020
aubry2 F4 16 random 29.78 0.04 0.02 4.65 23.15 79 7215 6 5881 1020
ahmlh F4 3 perturbation NA NA NA NA NA NA NA NA NA NA
ahml classical 3 random 9.34 0.47 0.19 0.17 8.56 27 6125 17 172 96
ahmlh classical 0 random 69.48 1.92 0.65 3.45 63.66 71 14996 15 937 739
discrc2h classical 0 random 2.69 0.61 0.44 0.07 1.92 18 1789 13 142 101
ahmlh classical 27 perturbation 2889.42 53.28 12.09 821.51 2000.06 74 13483 14 25777 24799
discrc2h classical 22 random 11.97 0.77 0.32 0.83 10.12 4 35 5 476 379
aubry2 F4 3 perturbation 29.28 0.04 0.02 4.58 22.68 79 7215 6 5881 1020
ahmlh F4 29 random 24.09 0.13 0.04 0.16 23.21 84 15843 17 5542 222
aubry2 classical 21 random 539.15 7.86 1.29 5.99 523.54 79 7215 6 1013 645
discrc2 F4 22 random 5.51 0.13 0.06 0.20 5.04 13 283 7 4815 125
discrc2 classical 0 caboara-perry 0.07 0.05 0.02 0.00 0.00 3 19 4 3 0
discrc2 F4 22 perturbation 8.21 0.26 0.13 0.02 7.73 27 4739 10 7431 69
ahmlh F4 3 random 360.42 0.38 0.08 2.66 351.93 163 53232 25 34311 1629
